session_id,subject_id,segment,key_id,key_category,press_time_ms,release_time_ms,dwell_ms,shift_held,shift_hold_ms
session_003,candidate_09,pangram,key_24,alphanum,58319.5,58433,113.5,False,0
session_003,candidate_09,pangram,key_26,alphanum,58438.2,58549,110.8,False,0
session_003,candidate_09,pangram,key_22,alphanum,58575.2,58766.9,191.7,False,0
session_003,candidate_09,pangram,key_03,alphanum,58717,58811.4,94.4,False,0
session_003,candidate_09,pangram,key_11,alphanum,58759.3,58875.2,115.9,False,0
session_003,candidate_09,pangram,key_18,space,58934.2,59032.3,98.1,False,0
session_003,candidate_09,pangram,key_22,alphanum,59244.5,59308.6,64.1,False,0
session_003,candidate_09,pangram,key_13,backspace,59604.4,59672.5,68.1,False,0
session_003,candidate_09,pangram,key_10,alphanum,59691.9,59791.6,99.7,False,0
session_003,candidate_09,pangram,key_22,alphanum,59837.6,59917,79.4,False,0
session_003,candidate_09,pangram,key_26,alphanum,59976,60085.4,109.4,False,0
session_003,candidate_09,pangram,key_16,alphanum,60369.9,60555.7,185.8,False,0
session_003,candidate_09,pangram,key_01,alphanum,60540.3,60640,99.7,False,0
session_003,candidate_09,pangram,key_28,alphanum,60770.3,60901.4,131.1,False,0
