session_id,subject_id,time_ms,dx,dy
session_003,candidate_09,10833.6,-4.23047,-0.398438
session_003,candidate_09,10850.4,-3.20312,0
session_003,candidate_09,10867.1,-1.88281,0
session_003,candidate_09,10883.7,-1.88281,-0.316406
session_003,candidate_09,10900.3,-1.51562,0
session_003,candidate_09,10917,-1.51562,0
session_003,candidate_09,10950.4,-3.76172,0
session_003,candidate_09,10967.1,-3.32422,0
session_003,candidate_09,10983.3,-3.91797,0
session_003,candidate_09,11000.4,-3.75,0
session_003,candidate_09,11016.2,-5.34375,0.390625
session_003,candidate_09,11033.8,-4.76562,0.789062
session_003,candidate_09,11050.5,-4.22656,0.394531
session_003,candidate_09,11067.2,-4.09766,0.339844
session_003,candidate_09,11083.5,-1.51562,0
session_003,candidate_09,11100.4,-1.14844,0
session_003,candidate_09,11117,-0.835938,0
session_003,candidate_09,11133.7,-0.519531,0
session_003,candidate_09,11150.4,-0.523438,0.257812
session_003,candidate_09,11167.1,-0.246094,0
session_003,candidate_09,11217.2,0,0.234375
session_003,candidate_09,11233.7,0,0.238281
session_003,candidate_09,11249.9,0.242188,0
session_003,candidate_09,11267.1,0.828125,0.257812
session_003,candidate_09,11283.7,1.13672,0
session_003,candidate_09,11300.4,1.50781,0
session_003,candidate_09,11317,1.875,0
session_003,candidate_09,11333.6,2.78125,0
session_003,candidate_09,11350.4,4.21875,0
session_003,candidate_09,11367,5.97656,0.390625
session_003,candidate_09,11383.6,9.39453,0.984375
session_003,candidate_09,11399.4,9.40625,1.46875
session_003,candidate_09,11417,10.1641,1.01562
session_003,candidate_09,11433.7,10.1445,1.01172
session_003,candidate_09,11450.3,8.62891,0.957031
session_003,candidate_09,11467,8.64453,0.480469
session_003,candidate_09,11483.7,8.58984,0
session_003,candidate_09,11500.4,8.64844,0
session_003,candidate_09,11517,14.4883,0
session_003,candidate_09,11533.7,7.46094,0
session_003,candidate_09,11549.4,6.68359,0
session_003,candidate_09,11567,12.9609,0
session_003,candidate_09,11583.7,9.40625,0
