session_id,subject_id,trial_index,pattern,time_ms,offset_x,offset_y,error_px
session_003,candidate_09,1,sinusoidal,6016.67,49.3628,-2.49219,49.4257
session_003,candidate_09,1,sinusoidal,6033.37,44.4977,-2.09766,44.5471
session_003,candidate_09,1,sinusoidal,6050.07,39.3467,-1.75781,39.3859
session_003,candidate_09,1,sinusoidal,6066.47,36.3942,-1.75781,36.4366
session_003,candidate_09,1,sinusoidal,6083.37,33.3495,-1.75781,33.3958
session_003,candidate_09,1,sinusoidal,6100.07,30.2279,-1.75781,30.279
session_003,candidate_09,1,sinusoidal,6116.67,27.0333,-1.75781,27.0904
session_003,candidate_09,1,sinusoidal,6133.47,23.3968,-1.5,23.4449
session_003,candidate_09,1,sinusoidal,6150.07,19.6775,-1.5,19.7346
session_003,candidate_09,1,sinusoidal,6166.37,15.8869,-1.5,15.9575
session_003,candidate_09,1,sinusoidal,6183.37,11.537,-1.5,11.6341
session_003,candidate_09,1,sinusoidal,6200.07,6.87503,-1.26562,6.99056
session_003,candidate_09,1,sinusoidal,6216.67,1.86466,-1.02734,2.12894
session_003,candidate_09,1,sinusoidal,6232.87,-3.13871,-1.02734,3.30257
session_003,candidate_09,1,sinusoidal,6250.07,-8.25794,-0.769531,8.29372
session_003,candidate_09,1,sinusoidal,6266.77,-13.261,-0.769531,13.2833
session_003,candidate_09,1,sinusoidal,6283.37,-18.2055,-0.769531,18.2217
session_003,candidate_09,1,sinusoidal,6300.07,-23.165,-0.769531,23.1778
session_003,candidate_09,1,sinusoidal,6316.77,-27.5544,-0.769531,27.5652
session_003,candidate_09,1,sinusoidal,6333.47,-30.8336,-0.769531,30.8432
session_003,candidate_09,1,sinusoidal,6350.07,-32.6255,-0.378906,32.6277
session_003,candidate_09,1,sinusoidal,6366.67,-31.3044,0.605469,31.3102
session_003,candidate_09,1,sinusoidal,6400.07,-28.8624,3.08984,29.0273
session_003,candidate_09,1,sinusoidal,6416.77,-27.7041,4.10156,28.006
session_003,candidate_09,1,sinusoidal,6433.37,-28.2721,5.05859,28.721
session_003,candidate_09,1,sinusoidal,6450.07,-29.1346,5.53906,29.6565
session_003,candidate_09,1,sinusoidal,6466.67,-30.2368,5.53906,30.7399
session_003,candidate_09,1,sinusoidal,6483.37,-31.5701,5.53906,32.0523
session_003,candidate_09,1,sinusoidal,6500.07,-27.2834,5.53906,27.84
session_003,candidate_09,1,sinusoidal,6516.77,-30.2316,5.53906,30.7348
session_003,candidate_09,1,sinusoidal,6550.07,-31.9112,5.53906,32.3883
session_003,candidate_09,1,sinusoidal,6566.57,-33.3258,5.53906,33.783
